INSTANCE	NODE,EDGES	COLORS	RESULT(CONFLICT))	EXECTIME	NIT/MAXIT	FIXLONG	PROPLONG	RESTART

instances/DSJC500.5.col	(500,125248)	56	COLORED(C:0)	10sec	50000it	20fix	0.60prop
instances/DSJC500.5.col	(500,125248)	55	COLORED(C:0)	11sec	50000it	20fix	0.60prop
instances/DSJC500.5.col	(500,125248)	54	COLORED(C:0)	123sec	50000it	50fix	0.60prop
instances/DSJC500.5.col	(500,125248)	53	COLORED(C:0)	111sec	32282/50000it	30fix	0.60prop
instances/DSJC500.5.col	(500,125248)	52	COLORED(C:0)	126sec	38155/50000it	10fix	0.60prop
instances/DSJC500.5.col	(500,125248)	52	COLORED(C:0)	79sec	31528/60000it	10fix	0.60prop
instances/DSJC500.5.col	(500,125248)	52	COLORED(C:0)	167sec	68254/30000it	10fix	0.60prop
instances/DSJC500.5.col	(500,125248)	51	COLORED(C:0)	638sec	254596/20000it	21fix	0.60prop	r:5
instances/DSJC500.5.col	(500,125248)	51	FAILED(C:8)	196sec	334845/20000it	21fix	0.60prop	r:10
instances/DSJC500.5.col	(500,125248)	51	FAILED(C:8)	229sec	376030/20000it	21fix	0.60prop	r:10
instances/DSJC1000.5.col	(1000,499652)	121	COLORED(C:0)	4sec	833/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	120	COLORED(C:0)	4sec	852/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	119	COLORED(C:0)	5sec	889/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	118	COLORED(C:0)	3sec	954/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	117	COLORED(C:0)	5sec	971/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	116	COLORED(C:0)	4sec	997/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	115	COLORED(C:0)	4sec	991/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	114	COLORED(C:0)	4sec	1059/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	113	COLORED(C:0)	5sec	1248/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	112	COLORED(C:0)	4sec	1154/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	111	COLORED(C:0)	5sec	1147/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	110	COLORED(C:0)	5sec	1263/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	109	COLORED(C:0)	4sec	1304/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	108	COLORED(C:0)	6sec	1473/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	107	COLORED(C:0)	5sec	1441/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	106	COLORED(C:0)	7sec	1808/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	105	COLORED(C:0)	6sec	1682/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	104	COLORED(C:0)	8sec	2178/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	103	COLORED(C:0)	9sec	2736/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	102	COLORED(C:0)	10sec	3064/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	101	COLORED(C:0)	16sec	4886/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	100	COLORED(C:0)	16sec	5023/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	99	COLORED(C:0)	19sec	5754/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	98	COLORED(C:0)	48sec	15421/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	97	COLORED(C:0)	78sec	25415/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	96	COLORED(C:0)	110sec	36137/20000it	21fix	0.60prop	r:0
instances/DSJC1000.5.col	(1000,499652)	95	COLORED(C:0)	280sec	84887/20000it	21fix	0.60prop	r:1
instances/DSJC1000.5.col	(1000,499652)	94	COLORED(C:0)	577sec	175752/20000it	21fix	0.60prop	r:4
instances/DSJC1000.5.col	(1000,499652)	93	FAILED(C:4)	1266sec	375959/20000it	21fix	0.60prop	r:10
instances/DSJC1000.5.col	(1000,499652)	93	FAILED(C:6)	1354sec	407209/20000it	21fix	0.60prop	r:10
instances/DSJC1000.5.col	(1000,499652)	93	FAILED(C:6)	1140sec	346268/20000it	21fix	0.60prop	r:10
instances/DSJC1000.5.col	(1000,499652)	93	COLORED(C:0)	1456sec	417724/20000it	21fix	0.60prop	r:9
